date;text;keywords
30.4.2018 9:28;@youthhawk Can someone tell me the reason behind the continual lack of interest in the players in category 2 and 3 httpstco5hIBQfqDe9;player
30.4.2018 9:28;@7AnthonyDagher7 @VeganGenesis Love how youre all about the animals Ant but your people skills are atrocious ;love, ant
30.4.2018 9:28;@stpeteyontweety you forgot Ainsley Harriott; Ainsley Harriott
30.4.2018 9:28;@BoringEnormous Earlier on  httpstco5zSXIC0X0k;Earlier
30.4.2018 9:28;@64scorpio Ha My pleasure Xx;pleasure
30.4.2018 9:28;@FightLikeACow You know having now seen it it is noticeably silly in that regard And yet on balance I still mo httpstcoilJGj2kVFl;on balance
30.4.2018 9:28;As I make my way to East Kilbride I notice a ball of fire high in the sky This must be the sun that I have heard httpstcoRsZNwUFfU9;fire
30.4.2018 9:28;A want Monday over and done with  feel ROTTEN;Monday
30.4.2018 9:28;You know youre a proper grown up when Number 38 you find yourself unreasonably delighted to have a new tap uni httpstcoMVCeKacuQh;grown up
30.4.2018 9:28;Duncan Castles knew Buvac was in temporarily leave and decided to spin a story that hed left in an argument with httpstcoYqrW2PD7D6;Duncan Castles
30.4.2018 9:28;They created #lonelytogether and @RitaOra has paid tribute to @Avicii at a gig in the Netherlands #TheMorningShow;#lonelytogether,#TheMorningShow
30.4.2018 9:28;@Baz1980WHU Rivalry I dont think so I cant think  of any other club City fans have more respect for Really hop httpstco9z9pHpEc42;club city fan
30.4.2018 9:28;Happy birthday to one of my most favourite actors@SamHeughan I hope youve a wonderful day Lots of love  httpstcoSuVJkH5gX2;birthday
30.4.2018 9:28;@NextStepFdn @damekellyholmes Love it @damekellyholmes xx #MentalHealthAwareness;#MentalHealthAwareness
30.4.2018 9:28;Great touch by @RobCross180 httpstcoW4zVfRa8rp;
30.4.2018 9:28;Im so bad for fucking off from the cash machine without taking my dough;cash machine
30.4.2018 9:28;@annafrater happy birthday Anna have a good one xx;birthday
30.4.2018 9:28;@virginmedia I will try this and report back;try
30.4.2018 9:28;@jamilajaff @CamFanGang Do it She imagined the perfect son and there I was;perfect son
30.4.2018 9:28;why do i feel like mike isnt working with the presidents best interest in mind im gonna get mad if my thoughts are true;mike
30.4.2018 9:28;@ryano @itsemmatiernial @Devilsad2 We somehow got all those right Beats me;beat
30.4.2018 9:28;Katie and I are now in Brighton - DM us for 1-2-1 yoga andor fearless coaching Throwback to httpstcoI34jEVVUnm;yoga
30.4.2018 9:28;@wireysausagedog Have a great birthday Lottie - I brought you a pressie  httpstcojK81ZJtDaV;birthday
30.4.2018 9:28;@funkybeatts1903 @stuartie17 @AgentScotland Rangers couldnt raise a fuckin smile;smile
30.4.2018 9:28;cant wait to be back in my favourite place with my fave person  182 days to go httpstco3ClgtqAprU;favourite place
30.4.2018 9:28;Stand by Liverpool Youre going to feel the awesomeness of @BizSorority #PoweroftheNetwork httpstcoBymggUZTTV; #PoweroftheNetwork, liverpool
30.4.2018 9:28;Summer in #london httpstcoFojVE8e7O7;#london,summer
30.4.2018 9:28;@CherryOrchardFC @Keith_Fahey Fantastic gesture Keith thank you pal ;gesture
30.4.2018 9:28;Sajid Javids record on welfare and benefits httpstco2nsVdl5o5i;welfare
30.4.2018 9:28;Is this the right minister for this role or was he chosen for his Liberal views and his multi cultural heritage  httpstcoZT63OSnJUX;minister
30.4.2018 9:28;@MarcusduSautoy We have been incredibly lucky = but not for the Siberians RUSSIA NEO ~ @albertfeynman More httpstcoNxKgL9xcKl;lucky
30.4.2018 9:28;Truss automation with Kinesys today for our Show Control module at @backstageacad httpstcoqyjlSq3Vih;Truss automation 
30.4.2018 9:28;Have you returned your postal vote Make sure your vote counts post it off by tomorrow evening otherwise it may ar httpstcodpUafcLiai;vote
30.4.2018 9:28;@toobanlad Stall the ball we may need a number 2 for Klopp #gerrard;#gerrard
30.4.2018 9:28;@saravastiares Melancholy Rain  Stive Morgan  LONA  httpstcok6IGzwdGr1  just 4 U &amp 4 a peaceful sleep httpstcoOrAwSpHwpo;peaceful sleep
30.4.2018 9:28;At #AllIslandDialogue in @DkIT_ie hearing from @RealTaoiseach and @MichelBarnier on progress in Brexit negotiations httpstcoHu0exo86r1; #AllIslandDialogue
30.4.2018 9:28;Signing off;singing
30.4.2018 9:28;Iconic httpstcoPFugz9PFrw;Iconoic
30.4.2018 9:28;@Virgin_TrainsEC Many thanks;thanks
30.4.2018 9:28;@W_F_Magee None of us wanted to spoil your story butwe already knew He actually tweeted about it yesterday;story
30.4.2018 9:28;@HKesvani Theyre good clothes Hussein;clothes
30.4.2018 9:28;On the ground Travel Consultants Sophie and Annerys are making the most of the unspoilt beaches of Tayrona Nationa httpstconIz3eocebG;Tayrona National park
30.4.2018 9:28;@SpiderNick82 Morning hun thanks you too xx;morning
30.4.2018 9:28;Im An MP And I Visited An Immigration Detention Centre Undercover What I Discovered Was Shocking - httpstcoNataYth6dD;Immigration detention center
30.4.2018 9:28;Do you remember when you joined Twitter I do #MyTwitterAnniversary httpstcoYH1bjNiXYO;#mytwitteranniversary
30.4.2018 9:28;Its very simple dont tell lies and you wont get caught out The Gov will been keen to smooth this over with a c httpstcoI8UfebfqMe;Gov
30.4.2018 9:28;@GuitarMoog @KevinMitch76ell Please remember the EU citizens who are still in limbo victims of the hostile environ httpstcoWpqYYCwwNN;victim EU
30.4.2018 9:28;@MadMancMama ooh hope your first shift back isnt a long one then   and im saying nowt about nurses uniforms coz th httpstcoRdb3xs0gS3;nurses uniform
30.4.2018 9:28;@antanddec_vines The hate account are giving the fan account a bad name;account
30.4.2018 9:28;All things at the club now turn to tomorrows Supp Cup semifinal The reserves face @FcMinster res   745pm Kick of httpstcoHB73KSQqId;Supp Cup semifinal
30.4.2018 9:28;Exam week is 3 weeks away and uni STILL have not finished content;Exam week
30.4.2018 9:28;There is no way Wenger drops Koscielny or Mustafi in favour of Holding or Mavropanos He is too attached to those g httpstcoVympmZrKrH;
30.4.2018 9:28;Brace Brace httpstco42NcmeXonZ;brace
30.4.2018 9:28;@angelneptustar @MayorofLondon @SadiqKhan @BorisJohnson @sadiqkahn @JamesCleverly Since 2010 the government has sy httpstcoo6TuYvCBNW;government
30.4.2018 9:28;The island is now considered an essential feature in any modern kitchen Not only does it provide essential prep sp httpstcoOmxGy88GrQ;modern kitchen
30.4.2018 9:28;@RHendersonArt Awwww love the piggie ;piggies
30.4.2018 9:28;Im at marquis httpstcod0PmWkJxqh;marquis
30.4.2018 9:28;@boxxfresh_xx from Saturdays Warren Gatland lunch httpstco2E0PJlQt6M;lunch
30.4.2018 9:28;@FootballCliches @Eurosport_UK @alanshearer goal;goal
30.4.2018 9:28;Does Amber Rudd now get deported #AmberRuddResigns;#AmberRuddReigns
30.4.2018 9:28;Pretty sure;sure
30.4.2018 9:28;@hermitcrabeggs Sending you a massive hug  Feel better soon xx;hug
30.4.2018 9:28;@ActivePatriots If we hung people like this there wouldnt be a problem later on;hung people
30.4.2018 9:28;Woken up before 9am twice on my day off Im angry;angry
30.4.2018 9:28;@NathanW85618727 Yas can only go up from yesterday result;yesterday
30.4.2018 9:28;@SaorAlba59 @ron_dickinson Quite simply Ian the media establishment consider it more important to hopefully unsucc httpstco9nTrPQlYFm;media establishment
30.4.2018 9:28;Im guiding the first of two FREE walks for @frodshamtc on Wed 4th May starting at 630 pm Meet on the motorway br httpstcoIBbsQEnRaZ;guiding
30.4.2018 9:28;@tynesidecinema Hi could you DM the cult classic film tonight please Thanks;classic film
30.4.2018 9:28;@jordy_deelight Hope you get well again soon Big hugs xx;big hug
30.4.2018 9:28;No matter whether I am feeling happy or sad #TranceMusic is always there to put me in a better mood  what would httpstcowfQNYCNdVY;#TranceMusic
30.4.2018 9:28;For me Holt was the only outfield player who put in a shift yesterday Unfortunatlly thats all he has to give as a httpstcoAsFwDHM0vI;player
30.4.2018 9:28;Yet another cryptocurrency group Except this one is mine and we discuss things for newbies to get you on the right httpstcoqq4JWAAuxs;cryptocurrency
30.4.2018 9:28;@mutual_ayyde will only end in a united front and new wave of anarcho-monarchists which i will definitely sign up to;anarcho
30.4.2018 9:28;@BrandonCNorth Yeah Defo to Far for Twitter ;eah
30.4.2018 9:28;The first priority for @sajidjavid has to be confronting the hostile environment and increasing transparency  We httpstcoCP5p969I2O;be confronting
30.4.2018 9:28;We hate you bitch httpstcoC6bw6jdMal;hate
30.4.2018 9:28;@potto76 Congrats on the win mate;win
30.4.2018 9:28;Lucky you then But someone must be missing such a beauty dont you think httpstco2TMzdTL25y;lucky
30.4.2018 9:28;@scott_mills was lovely to meet you at #MSAwards2018 you were brilliant Im the mum of Zaynab - Young carer of th httpstcoVHOXp0GFCp;#MSAwards2018 
30.4.2018 9:28;@WheelsofSteer @Ligero1 @FusionDabion it ewas a LUCHADOOR;
30.4.2018 9:28;Male pied fly on the village this morning Not unexpected;male pied
30.4.2018 9:28;Post malones new album gets me excited for Leeds ;Post malones
30.4.2018 9:28;@moggy45 @swedeninuk Collecting passport;passport
30.4.2018 9:28;Not to take away from the message here but take a look at the mental institution shown in this video Why does it l httpstcoGVZ3JISGTl;mental institution
30.4.2018 9:28;@caroljallen I have your badge  ;badge
30.4.2018 9:28;@StevenjonesTC Thanks;thanks
30.4.2018 9:28;@SainsburysNews So reduced competition will result in increased prices;prices
30.4.2018 9:28;I better stop been a fat bastard and get moving  #LondonMarathon #MondayMotivation httpstcoO4sb01Ynt0;#LondonMarathon, #MondayMotivation 
30.4.2018 9:28;Bring on bank holiday weekend with my favourite person;holiday weekend
30.4.2018 9:28;heart eyes emoji x280 httpstcoc7puVcbFVo;emoji
30.4.2018 9:28;#Repost @leicestermedia with get_repost  Colour Blast dash 2018 Victoria Park Leicester more httpstcoN1VRUsQmt4; 2018 Victoria Park
30.4.2018 9:28;Here Comes The Breeze @ O2 Academy Leeds httpstcofT45qbzAOl;Breeze
30.4.2018 9:28;bruce banner is gonna die in Avengers part 2 and the hulk will come out #InfinityWar;#InfinityWar
30.4.2018 9:28;@ROGAstronomers @RMGreenwich Ah ok Thankyou I only noticed last Sunday that you were doing these things I have httpstco524P3iyIfh; Sunday
30.4.2018 9:28;@bailliestontb I thought it was the premier inn advert;advert
30.4.2018 9:28;@AndyMitten @MysticalAlexis No its clearly a joke;joke
30.4.2018 9:28;Renowned Criminologist Professor John Lea will be giving a lecture today on Stop and Search All are welcome betwee httpstcoqyac002IpX;Criminologist Professor John Lea
30.4.2018 9:28;sometimes i wonder how ive managed to make it through 26yrs of life without something horrific happening;life, 26yrs
30.4.2018 9:28;oi oi get us on that plane httpstco2jCC8NWZvw;plane
